status,status_desc,road_name,时间,路况描述
1,双向畅通,东风桥,2023-03-19 12:40:21,东风桥：双向畅通。
1,自东向西畅通,南联路,2023-03-19 12:40:22,南联路：自东向西畅通。
2,自北向南拥堵；自南向北畅通,和平北路,2023-03-19 12:40:22,"和平北路：自北向南拥堵；自南向北畅通；北向南,文明天桥附近严重拥堵；北向南,文明天桥附近严重拥堵。"
1,双向畅通,和平南路,2023-03-19 12:40:22,"和平南路：双向畅通；南向北,从建山里到文明天桥行驶缓慢。"
1,双向畅通,文明东路,2023-03-19 12:40:23,文明东路：双向畅通。
1,双向畅通,文明中路,2023-03-19 12:40:23,"文明中路：双向畅通；西向东,文明天桥附近行驶缓慢。"
1,双向畅通,文明横路,2023-03-19 12:40:23,文明横路：双向畅通。
1,双向畅通,文联路,2023-03-19 12:40:23,文联路：双向畅通。
1,双向畅通,美舍路,2023-03-19 12:40:24,美舍路：双向畅通。
1,双向畅通,东风桥,2023-03-19 13:00:33,东风桥：双向畅通。
1,自东向西畅通,南联路,2023-03-19 13:00:33,南联路：自东向西畅通。
1,双向畅通,和平北路,2023-03-19 13:00:34,"和平北路：双向畅通；北向南,文明天桥附近严重拥堵；北向南,文明天桥附近严重拥堵。"
1,自北向南畅通；自南向北缓行,和平南路,2023-03-19 13:00:34,"和平南路：自北向南畅通；自南向北缓行；南向北,从建山里到文明天桥行驶缓慢。"
1,双向畅通,文明东路,2023-03-19 13:00:34,文明东路：双向畅通。
1,双向畅通,文明中路,2023-03-19 13:00:34,文明中路：双向畅通。
1,双向畅通,文明横路,2023-03-19 13:00:35,文明横路：双向畅通。
1,双向畅通,文联路,2023-03-19 13:00:35,文联路：双向畅通。
1,双向畅通,美舍路,2023-03-19 13:00:35,美舍路：双向畅通。
1,双向畅通,东风桥,2023-03-19 13:20:43,东风桥：双向畅通。
1,自东向西畅通,南联路,2023-03-19 13:20:44,南联路：自东向西畅通。
1,双向畅通,和平北路,2023-03-19 13:20:44,和平北路：双向畅通。
1,自北向南畅通；自南向北缓行,和平南路,2023-03-19 13:20:44,"和平南路：自北向南畅通；自南向北缓行；南向北,从建山里到文明天桥行驶缓慢。"
1,双向畅通,文明东路,2023-03-19 13:20:44,文明东路：双向畅通。
1,双向畅通,文明中路,2023-03-19 13:20:45,"文明中路：双向畅通；西向东,文明天桥附近行驶缓慢。"
1,双向畅通,文明横路,2023-03-19 13:20:45,"文明横路：双向畅通；北向南,文明横路附近拥堵。"
1,双向畅通,文联路,2023-03-19 13:20:45,文联路：双向畅通。
1,双向畅通,美舍路,2023-03-19 13:20:46,美舍路：双向畅通。
1,双向畅通,东风桥,2023-03-19 13:40:54,东风桥：双向畅通。
1,自东向西畅通,南联路,2023-03-19 13:40:54,南联路：自东向西畅通。
1,双向畅通,和平北路,2023-03-19 13:40:54,和平北路：双向畅通。
1,双向畅通,和平南路,2023-03-19 13:40:54,和平南路：双向畅通。
1,双向畅通,文明东路,2023-03-19 13:40:55,文明东路：双向畅通。
1,双向畅通,文明中路,2023-03-19 13:40:55,"文明中路：双向畅通；西向东,文明天桥附近行驶缓慢。"
1,双向畅通,文明横路,2023-03-19 13:40:56,文明横路：双向畅通。
1,双向畅通,文联路,2023-03-19 13:40:56,文联路：双向畅通。
1,双向畅通,美舍路,2023-03-19 13:40:57,美舍路：双向畅通。
1,双向畅通,东风桥,2023-03-19 14:01:05,东风桥：双向畅通。
1,自东向西畅通,南联路,2023-03-19 14:01:06,南联路：自东向西畅通。
1,双向畅通,和平北路,2023-03-19 14:01:06,"和平北路：双向畅通；北向南,文明天桥附近拥堵；北向南,文明天桥附近拥堵。"
1,自北向南畅通；自南向北轻微拥堵,和平南路,2023-03-19 14:01:06,"和平南路：自北向南畅通；自南向北轻微拥堵；南向北,从建山里到文明天桥严重拥堵。"
1,双向畅通,文明东路,2023-03-19 14:01:07,文明东路：双向畅通。
1,双向畅通,文明中路,2023-03-19 14:01:07,"文明中路：双向畅通；西向东,博爱南路附近拥堵。"
1,双向畅通,文明横路,2023-03-19 14:01:07,文明横路：双向畅通。
1,双向畅通,文联路,2023-03-19 14:01:07,文联路：双向畅通。
1,双向畅通,美舍路,2023-03-19 14:01:07,美舍路：双向畅通。
1,双向畅通,东风桥,2023-03-19 14:21:16,东风桥：双向畅通。
1,自东向西畅通,南联路,2023-03-19 14:21:16,南联路：自东向西畅通。
1,自北向南轻微拥堵；自南向北畅通,和平北路,2023-03-19 14:21:17,"和平北路：自北向南轻微拥堵；自南向北畅通；北向南,文明天桥附近严重拥堵；北向南,文明天桥附近严重拥堵。"
1,自北向南畅通；自南向北缓行,和平南路,2023-03-19 14:21:17,"和平南路：自北向南畅通；自南向北缓行；南向北,从建山里到文明天桥行驶缓慢。"
1,双向畅通,文明东路,2023-03-19 14:21:17,文明东路：双向畅通。
2,自东向西畅通；自西向东拥堵,文明中路,2023-03-19 14:21:17,文明中路：自东向西畅通；自西向东拥堵。
1,双向畅通,文明横路,2023-03-19 14:21:17,文明横路：双向畅通。
1,双向畅通,文联路,2023-03-19 14:21:18,文联路：双向畅通。
1,双向畅通,美舍路,2023-03-19 14:21:18,美舍路：双向畅通。
1,双向畅通,东风桥,2023-03-19 14:42:54,东风桥：双向畅通。
1,自东向西畅通,南联路,2023-03-19 14:42:55,南联路：自东向西畅通。
1,双向畅通,和平北路,2023-03-19 14:42:55,和平北路：双向畅通。
1,自北向南缓行；自南向北畅通,和平南路,2023-03-19 14:42:55,和平南路：自北向南缓行；自南向北畅通。
1,双向畅通,文明东路,2023-03-19 14:42:55,文明东路：双向畅通。
2,自东向西畅通；自西向东拥堵,文明中路,2023-03-19 14:42:56,"文明中路：自东向西畅通；自西向东拥堵；西向东,文明天桥附近严重拥堵。"
1,双向畅通,文明横路,2023-03-19 14:42:56,文明横路：双向畅通。
1,双向畅通,文联路,2023-03-19 14:42:56,文联路：双向畅通。
1,双向畅通,美舍路,2023-03-19 14:42:56,美舍路：双向畅通。
1,双向畅通,东风桥,2023-03-19 15:03:06,东风桥：双向畅通。
1,自东向西畅通,南联路,2023-03-19 15:03:06,南联路：自东向西畅通。
1,双向畅通,和平北路,2023-03-19 15:03:07,"和平北路：双向畅通；北向南,文明天桥附近严重拥堵。"
1,自北向南畅通；自南向北缓行,和平南路,2023-03-19 15:03:07,和平南路：自北向南畅通；自南向北缓行。
1,双向畅通,文明东路,2023-03-19 15:03:07,文明东路：双向畅通。
2,自东向西畅通；自西向东拥堵,文明中路,2023-03-19 15:03:08,"文明中路：自东向西畅通；自西向东拥堵；西向东,文明天桥附近严重拥堵。"
1,双向畅通,文明横路,2023-03-19 15:03:08,文明横路：双向畅通。
1,双向畅通,文联路,2023-03-19 15:03:08,文联路：双向畅通。
1,双向畅通,美舍路,2023-03-19 15:03:08,美舍路：双向畅通。
1,双向畅通,东风桥,2023-03-19 15:23:18,东风桥：双向畅通。
1,自东向西畅通,南联路,2023-03-19 15:23:18,南联路：自东向西畅通。
1,双向畅通,和平北路,2023-03-19 15:23:18,和平北路：双向畅通。
3,自北向南缓行；自南向北拥堵,和平南路,2023-03-19 15:23:18,"和平南路：自北向南缓行；自南向北拥堵；南向北,从和平南横巷到文明天桥拥堵。"
1,双向畅通,文明东路,2023-03-19 15:23:19,文明东路：双向畅通。
1,双向畅通,文明中路,2023-03-19 15:23:19,"文明中路：双向畅通；西向东,文明天桥附近行驶缓慢。"
1,双向畅通,文明横路,2023-03-19 15:23:19,文明横路：双向畅通。
1,双向畅通,文联路,2023-03-19 15:23:19,文联路：双向畅通。
1,双向畅通,美舍路,2023-03-19 15:23:20,美舍路：双向畅通。
1,双向畅通,东风桥,2023-03-19 15:43:29,东风桥：双向畅通。
1,自东向西畅通,南联路,2023-03-19 15:43:30,南联路：自东向西畅通。
1,双向畅通,和平北路,2023-03-19 15:43:30,"和平北路：双向畅通；北向南,文明天桥附近严重拥堵；北向南,和平北路附近行驶缓慢。"
3,自北向南畅通；自南向北拥堵,和平南路,2023-03-19 15:43:30,"和平南路：自北向南畅通；自南向北拥堵；南向北,从和平南横巷到文明天桥拥堵。"
1,双向畅通,文明东路,2023-03-19 15:43:30,文明东路：双向畅通。
2,自东向西畅通；自西向东轻微拥堵,文明中路,2023-03-19 15:43:31,"文明中路：自东向西畅通；自西向东轻微拥堵；西向东,文明天桥附近行驶缓慢。"
2,自北向南轻微拥堵；自南向北畅通,文明横路,2023-03-19 15:43:31,"文明横路：自北向南轻微拥堵；自南向北畅通；南向北,文明中路附近拥堵；北向南,文明横路附近拥堵。"
1,双向畅通,文联路,2023-03-19 15:43:31,文联路：双向畅通。
1,双向畅通,美舍路,2023-03-19 15:43:32,美舍路：双向畅通。
1,双向畅通,东风桥,2023-03-19 16:03:41,东风桥：双向畅通。
1,自东向西畅通,南联路,2023-03-19 16:03:41,南联路：自东向西畅通。
2,自北向南拥堵；自南向北畅通,和平北路,2023-03-19 16:03:41,"和平北路：自北向南拥堵；自南向北畅通；北向南,文明天桥附近拥堵；北向南,文明天桥附近拥堵。"
1,自北向南畅通；自南向北缓行,和平南路,2023-03-19 16:03:41,"和平南路：自北向南畅通；自南向北缓行；南向北,从和平南横巷到建山里严重拥堵。"
1,双向畅通,文明东路,2023-03-19 16:03:42,文明东路：双向畅通。
1,双向畅通,文明中路,2023-03-19 16:03:42,"文明中路：双向畅通；西向东,博爱南路附近拥堵。"
1,双向畅通,文明横路,2023-03-19 16:03:42,文明横路：双向畅通。
1,双向畅通,文联路,2023-03-19 16:03:42,文联路：双向畅通。
1,双向畅通,美舍路,2023-03-19 16:03:42,美舍路：双向畅通。
1,双向畅通,东风桥,2023-03-19 16:23:52,东风桥：双向畅通。
1,自东向西畅通,南联路,2023-03-19 16:23:52,南联路：自东向西畅通。
1,双向畅通,和平北路,2023-03-19 16:23:52,和平北路：双向畅通。
3,自北向南畅通；自南向北拥堵,和平南路,2023-03-19 16:23:52,"和平南路：自北向南畅通；自南向北拥堵；南向北,从和平南横巷到文明天桥拥堵。"
1,双向畅通,文明东路,2023-03-19 16:23:53,文明东路：双向畅通。
1,双向畅通,文明中路,2023-03-19 16:23:53,文明中路：双向畅通。
1,双向畅通,文明横路,2023-03-19 16:23:53,文明横路：双向畅通。
1,双向畅通,文联路,2023-03-19 16:23:53,文联路：双向畅通。
1,双向畅通,美舍路,2023-03-19 16:23:53,美舍路：双向畅通。
1,双向畅通,东风桥,2023-03-19 16:44:02,东风桥：双向畅通。
